serotype	study	true_rho_ij	true_psi_j	true_dur_j	true_r_i	carriage_samples	surveillance_population	time_interval	carriage	disease	rho	rho_lower	rho_upper	gamma	gamma_lower	gamma_upper	psi	psi_lower	psi_upper	dur	dur_lower	dur_upper	rho_diff	psi_diff	dur_diff	r_diff	true_nu_j	nu	nu_diff
Serotype_1	Population_A	0.021448392351158	0.00716408557547464	0.328829100565053	1	955	72100	1	21	45	0.0267573719008973	0.0194492647292311	0.0577373742486609	1	1	1	0.011172521640546	0.00151436392429587	0.0149114070733541	0.595430054265418	0.0693806845875837	0.699450919571088	0.247523425663776	0.559518171976298	0.81075839468661	0	0.0217866531981628	0.018763785201151	0.138748616848905
Serotype_2	Population_A	0.0393551641260274	0.000116006837469496	0.561617133638356	1	955	72100	1	40	1	0.0435437075927708	0.0308938107482181	0.0585368327759119	1	1	1	0.00010053595299979	1.90602459734839e-05	0.000149367639875658	0.6398690213912	0.11390834172884	0.75934421166716	0.106429322803238	0.133361832864159	0.139333156105656	0	0.000206558579717756	0.00015711958172503	0.239346136385525
Serotype_3	Population_A	0.0222268702462316	0.005988429972616	0.33894931320101	1	955	72100	1	21	44	0.028097621339447	0.0210542026592935	0.0364313904460695	1	1	1	0.0081403661962078	0.00277382556597919	0.0139988267401177	0.47064363122005	0.160475751636983	0.758351223485396	0.264128553781015	0.359348983528607	0.388536907702598	0	0.0176676268084503	0.0172962421165788	0.0210206325896548
Serotype_4	Population_A	0.0275577765190974	0.00175477867541166	0.408251094748266	1	955	72100	1	20	10	0.0249260875579625	0.0175469223385337	0.0352140366153828	1	1	1	0.00237688150159498	0.000963998346291623	0.00296052121742527	0.673387287639253	0.263294140391134	0.76294369704275	0.0954971443110139	0.354519253567619	0.649443923853955	0	0.00429828284108751	0.00352973919351493	0.178802483686283
Serotype_5	Population_A	0.0305270829237998	0.000885710325422622	0.446852078009397	1	955	72100	1	21	5	0.026321860973484	0.017202047452232	0.0607971439338117	1	1	1	0.000580963563335738	0.000116809495067827	0.00146916318271564	0.6246963716431	0.066142671313868	0.746039414432896	0.137753808996837	0.344070463378049	0.397993659167818	0	0.00198211079014832	0.00092999349717314	0.53080650093048
Serotype_6	Population_A	0.00323402408976108	0.474894993383791	0.092042313166894	1	955	72100	1	6	1191	0.00315266747537617	0.00192524229671778	0.00371623863647255	1	1	1	2.44148930611733	1.12741371983216	5.87457991748164	0.474119197201897	0.224746335576902	0.761605766523999	0.025156465173677	4.14111401495492	4.1511004112012	0	5.15952910182403	5.14952636494417	0.00193869182292789
Serotype_7	Population_A	0.0471397672779858	1.93207184667791e-05	0.662816974613816	1	955	72100	1	45	1	0.0523969428653528	0.0379572482134936	0.157035854982733	1	1	1	1.43658899947855e-05	1.00596662423523e-05	2.4103159747097e-05	0.665270040851875	0.333058738085094	0.786597784468002	0.111523155308873	0.256451564185519	0.00370097075363644	0	2.91494020321917e-05	2.15940732524045e-05	0.259193268233883
Serotype_8	Population_A	0.0151845754589885	0.030306965465654	0.247399480966851	1	955	72100	1	12	124	0.0138717368300331	0.00887267340753988	0.0183853782570452	1	1	1	0.0655834105764385	0.0159513474984045	0.127895461657858	0.534777386338499	0.177701879864671	0.720770423091998	0.0864586983351148	1.16397153488568	1.16159461712918	0	0.122502138433002	0.122636843389122	0.00109961309935537
Serotype_9	Population_A	0.0139275324996561	0.0404805822042693	0.231057922495529	1	955	72100	1	15	154	0.0123540447030411	0.00834633526304544	0.0154699116614466	1	1	1	0.0863680446350246	0.013785406302247	0.140946971672591	0.492231529077494	0.0782463802963372	0.697680011823158	0.112976781540723	1.13356725452223	1.1303382448919	0	0.175196685606193	0.175462235824043	0.0015157262646324
Serotype_10	Population_A	0.0129778660368174	0.0503748071240825	0.218712258478627	1	955	72100	1	15	219	0.0141093443507456	0.00927503736394491	0.0199358008594996	1	1	1	0.112365811457848	0.0575793850115744	0.154077000967888	0.53032511877939	0.250170465906758	0.710837821106598	0.0871852360563941	1.23059536845612	1.42476175075123	0	0.23032457108025	0.211880990507243	0.0800764785385442
Serotype_11	Population_A	0.0160193065763451	0.0250074461545483	0.258250985492486	1	955	72100	1	16	113	0.016391864616505	0.0131710461550365	0.0225164130656755	1	1	1	0.046730666685633	0.00899029544232778	0.0716670684432252	0.483165295384976	0.10169128217959	0.682193038382711	0.02325681441855	0.868670091173379	0.870913655812684	0	0.0968338847066116	0.0967177633244519	0.00119918128361224
Serotype_12	Population_A	0.0220769588719122	0.00619874987881543	0.337000465334859	1	955	72100	1	18	32	0.0223191351438612	0.0160153140780342	0.0298899255288083	1	1	1	0.00674733258012203	0.00160105521836415	0.0126935919486622	0.40374941309904	0.0906047978837178	0.679714461805014	0.0109696391316444	0.088498925110918	0.198067820760595	0	0.0183938911557765	0.0167116839336851	0.0914546687182673
Serotype_13	Population_A	0.00842597744194791	0.143681964011969	0.159537706745323	1	955	72100	1	13	522	0.00808446707532794	0.00555120266222017	0.00973055410537627	1	1	1	0.421620938994941	0.178302596741285	0.675058804515755	0.452829500595997	0.209046445185838	0.655084721698364	0.0405306528498159	1.93440406312806	1.8383854189334	0	0.900614449982881	0.931080988407381	0.0338286138148009
Serotype_14	Population_A	0.0477608729735948	1.6746062302669e-05	0.670891348656733	1	955	72100	1	44	0	0.0474932995042666	0.034851693720948	0.0612260616138495	1	1	1	1.63010786591029e-05	1.06103412220412e-05	2.55741761194961e-05	0.685111627966979	0.383127757025206	0.787563993750522	0.00560235717375071	0.0265724344937562	0.0211960988000787	0	2.49609155583809e-05	2.37933177509704e-05	0.0467770424798565
Serotype_15	Population_A	0.0224725125357509	0.0056591179581473	0.342142662964761	1	955	72100	1	22	34	0.0268123198607013	0.019283880084343	0.0428075848017136	1	1	1	0.00420881520207079	0.000918167274135638	0.0126952500488838	0.433858422258586	0.0548444813125066	0.749756286892406	0.193116248930614	0.256277173722549	0.268062914163004	0	0.0165402288890531	0.0097008954676055	0.413496903055199
Serotype_16	Population_A	0.0458269464317709	2.61399863717828e-05	0.645750303613022	1	955	72100	1	42	0	0.0444996073443921	0.0318567428476493	0.061134235903769	1	1	1	1.79973200875276e-05	1.03857823838541e-05	3.69822809258819e-05	0.519426999540116	0.304099845242331	0.792974396123896	0.028964161715531	0.311502315588233	0.195622523700132	0	4.04800218064592e-05	3.4648410851692e-05	0.144061457838362
Serotype_17	Population_A	0.0413025377551094	7.4087719082726e-05	0.586932990816422	1	955	72100	1	44	1	0.0499584114737674	0.0352479385205661	0.112880369179289	1	1	1	5.62393347757155e-05	1.39881547952752e-05	0.000103660321764794	0.55933575409097	0.119074022386524	0.763236196481638	0.209572442496883	0.240908810906719	0.047019399415706	0	0.000126228581868725	0.000100546647276492	0.203455780077931
Serotype_18	Population_A	0.00681457569589838	0.208229583481492	0.138589484046679	1	955	72100	1	11	719	0.00738671346954316	0.00484266007798346	0.00871793198849462	1	1	1	0.471870613229359	0.164420900978387	1.2383757633026	0.358729830819665	0.125896955416013	0.600575815311494	0.0839579453184647	1.26610746340613	1.58843470907821	0	1.5024919452861	1.31539273483662	0.124525932426113
Serotype_19	Population_A	0.0162682878901251	0.0236140898293255	0.261487742571626	1	955	72100	1	18	92	0.0150905672320286	0.010327115023802	0.0190228380985119	1	1	1	0.0531315499435582	0.0179969369767855	0.0786949342037219	0.593448145958433	0.213272227711649	0.675730041203207	0.0723936449889971	1.24999355586324	1.2695065555353	0	0.0903066797590225	0.0895302315887254	0.00859790407939948
Serotype_20	Population_A	0.0072762124822475	0.187231428918609	0.144590762269218	1	955	72100	1	3	681	0.00723028855666827	0.00475198938737446	0.00913290843790349	1	1	1	0.596851709560383	0.119347138311881	0.920015121247482	0.45859387663732	0.0941706833112999	0.668483864753588	0.00631151518613238	2.18777522025877	2.17166788140623	0	1.29490588458202	1.30148207371815	0.00507850741465471
Serotype_1	Population_B	0.0322225386276841	0.00716408557547464	0.328829100565053	0.438525533254239	965	375151	1	26	94	0.0267435981047802	0.0213459651693215	0.0343864658906676	0.448170897291543	0.281416560009611	0.520488670005064	0.011172521640546	0.00151436392429587	0.0149114070733541	0.595430054265418	0.0693806845875837	0.699450919571088	0.170034415544052	0.559518171976298	0.81075839468661	0.0219949884462299	0.0217866531981628	0.018763785201151	0.138748616848905
Serotype_2	Population_B	0.0492681970703416	0.000116006837469496	0.561617133638356	0.438525533254239	965	375151	1	46	3	0.0510040436940105	0.0378830319390449	0.0833836357186952	0.448170897291543	0.281416560009611	0.520488670005064	0.00010053595299979	1.90602459734839e-05	0.000149367639875658	0.6398690213912	0.11390834172884	0.75934421166716	0.0352325988546044	0.133361832864159	0.139333156105656	0.0219949884462299	0.000206558579717756	0.00015711958172503	0.239346136385525
Serotype_3	Population_B	0.0241376186022535	0.005988429972616	0.33894931320101	0.438525533254239	965	375151	1	24	75	0.0247407327931398	0.019213437666034	0.0317777991012882	0.448170897291543	0.281416560009611	0.520488670005064	0.0081403661962078	0.00277382556597919	0.0139988267401177	0.47064363122005	0.160475751636983	0.758351223485396	0.0249864827522804	0.359348983528607	0.388536907702598	0.0219949884462299	0.0176676268084503	0.0172962421165788	0.0210206325896548
Serotype_4	Population_B	0.0277503171470016	0.00175477867541166	0.408251094748266	0.438525533254239	965	375151	1	19	14	0.0235858605100291	0.0156640147488509	0.049675880360189	0.448170897291543	0.281416560009611	0.520488670005064	0.00237688150159498	0.000963998346291623	0.00296052121742527	0.673387287639253	0.263294140391134	0.76294369704275	0.150068794346103	0.354519253567619	0.649443923853955	0.0219949884462299	0.00429828284108751	0.00352973919351493	0.178802483686283
Serotype_5	Population_B	0.0457573050982319	0.000885710325422622	0.446852078009397	0.438525533254239	965	375151	1	54	22	0.061997103821199	0.0491929385198924	0.0812324202585327	0.448170897291543	0.281416560009611	0.520488670005064	0.000580963563335738	0.000116809495067827	0.00146916318271564	0.6246963716431	0.066142671313868	0.746039414432896	0.354911607842801	0.344070463378049	0.397993659167818	0.0219949884462299	0.00198211079014832	0.00092999349717314	0.53080650093048
Serotype_6	Population_B	0.0383026393712498	0.474894993383791	0.092042313166894	0.438525533254239	965	375151	1	37	32546	0.0366806007371228	0.0313600151723594	0.0428639206198947	0.448170897291543	0.281416560009611	0.520488670005064	2.44148930611733	1.12741371983216	5.87457991748164	0.474119197201897	0.224746335576902	0.761605766523999	0.0423479598469789	4.14111401495492	4.1511004112012	0.0219949884462299	5.15952910182403	5.14952636494417	0.00193869182292789
Serotype_7	Population_B	0.0187758074258454	1.93207184667791e-05	0.662816974613816	0.438525533254239	965	375151	1	22	1	0.024069544479867	0.0156488004906286	0.0354283589567546	0.448170897291543	0.281416560009611	0.520488670005064	1.43658899947855e-05	1.00596662423523e-05	2.4103159747097e-05	0.665270040851875	0.333058738085094	0.786597784468002	0.281944575482521	0.256451564185519	0.00370097075363644	0.0219949884462299	2.91494020321917e-05	2.15940732524045e-05	0.259193268233883
Serotype_8	Population_B	0.0242030469351448	0.030306965465654	0.247399480966851	0.438525533254239	965	375151	1	27	495	0.0240560099879026	0.020886486437497	0.0293737538737371	0.448170897291543	0.281416560009611	0.520488670005064	0.0655834105764385	0.0159513474984045	0.127895461657858	0.534777386338499	0.177701879864671	0.720770423091998	0.00607514201151027	1.16397153488568	1.16159461712918	0.0219949884462299	0.122502138433002	0.122636843389122	0.00109961309935537
Serotype_9	Population_B	0.0419272088445723	0.0404805822042693	0.231057922495529	0.438525533254239	965	375151	1	31	1156	0.0390310228200038	0.032292722388956	0.0464387952828613	0.448170897291543	0.281416560009611	0.520488670005064	0.0863680446350246	0.013785406302247	0.140946971672591	0.492231529077494	0.0782463802963372	0.697680011823158	0.0690765282111893	1.13356725452223	1.1303382448919	0.0219949884462299	0.175196685606193	0.175462235824043	0.0015157262646324
Serotype_10	Population_B	0.00192810532171279	0.0503748071240825	0.218712258478627	0.438525533254239	965	375151	1	1	77	0.002142354876518	0.0015255221891906	0.00308902865034709	0.448170897291543	0.281416560009611	0.520488670005064	0.112365811457848	0.0575793850115744	0.154077000967888	0.53032511877939	0.250170465906758	0.710837821106598	0.111119217603154	1.23059536845612	1.42476175075123	0.0219949884462299	0.23032457108025	0.211880990507243	0.0800764785385442
