serotype	study	true_rho_ij	true_nu_j	true_r_i	carriage_samples	surveillance_population	time_interval	carriage	disease	rho	rho_lower	rho_upper	gamma	gamma_lower	gamma_upper	nu	nu_lower	nu_upper	rho_diff	nu_diff	r_diff
Serotype_1	Population_A	0.021448392351158	0.00192366131736158	1	955	72100	1	21	7	0.0263337276663426	0.0180820899558039	0.0375276233002635	1	1	1	0.00173321520155694	0.00128680277912958	0.00231334817707903	0.227771631327927	0.0990018950247726	0
Serotype_2	Population_A	0.0393551641260274	7.10537281277665e-05	1	955	72100	1	40	0	0.0423168146126096	0.0309639443705238	0.056082671431518	1	1	1	5.20167954654757e-05	3.82250562503268e-05	7.05204459045807e-05	0.0752544310855396	0.267923065599868	0
Serotype_3	Population_A	0.0222268702462316	0.00166667292466383	1	955	72100	1	21	3	0.0229318964565817	0.0151923701808064	0.0331229867797867	1	1	1	0.00164820468344657	0.0012163068672458	0.00222894893980636	0.0317195449714608	0.0110809031237994	0
Serotype_4	Population_A	0.0275577765190974	0.000624277781675576	1	955	72100	1	20	6	0.0266020974334743	0.0178261340057715	0.0373641030432882	1	1	1	0.000581577710132851	0.000424864771222456	0.000789824645956144	0.0346791071827159	0.0683991530631067	0
Serotype_5	Population_A	0.0305270829237998	0.000361271220343049	1	955	72100	1	21	2	0.0241560730716582	0.0158090663409126	0.0350802637167658	1	1	1	0.000280189243545696	0.000202393196812921	0.000384094158184984	0.208700250464304	0.224435195032588	0
Serotype_6	Population_A	0.00323402408976108	0.0551160483973277	1	955	72100	1	6	14	0.00442795174176675	0.00265086838334472	0.00715780241175068	1	1	1	0.0511536943694845	0.0387478579765311	0.0673459199702064	0.369177105323873	0.0718911123540436	0
Serotype_7	Population_A	0.0471397672779858	1.69363031133799e-05	1	955	72100	1	45	0	0.0477165266644761	0.0353205342401521	0.0623731362625205	1	1	1	1.39089866574858e-05	9.10214005873963e-06	2.19695732055648e-05	0.0122350919360526	0.178747182051938	0
Serotype_8	Population_A	0.0151845754589885	0.00609865355644351	1	955	72100	1	12	2	0.0105944020133468	0.0061125506033797	0.0168646684485444	1	1	1	0.00603879161204174	0.00450197714951428	0.0079008874266026	0.302291852547286	0.00981560009069849	0
Serotype_9	Population_A	0.0139275324996561	0.00768771721786772	1	955	72100	1	15	10	0.017723009114597	0.0116781330921318	0.025827313657708	1	1	1	0.00675694860442356	0.00506721565131642	0.00883160864048791	0.27251608388167	0.121072170979557	0
Serotype_10	Population_A	0.0129778660368174	0.00915736905140876	1	955	72100	1	15	13	0.0184276881096526	0.0122956459419519	0.0265606195666855	1	1	1	0.0082163744538578	0.00621472054750483	0.0107861084766282	0.419932064129366	0.102758182210227	0
Serotype_11	Population_A	0.0160193065763451	0.00522944348484999	1	955	72100	1	16	4	0.0158361317908269	0.00994026327252671	0.0237431631952319	1	1	1	0.00487202874641886	0.00361226881702506	0.00655189242901793	0.0114346263769412	0.0683466107754254	0
Serotype_12	Population_A	0.0220769588719122	0.00171333895893638	1	955	72100	1	18	0	0.0175289912556931	0.0108888085879632	0.0266185446975117	1	1	1	0.00149725683293622	0.00110914895281043	0.00197976180231969	0.206005167768165	0.126117558275976	0
Serotype_13	Population_A	0.00842597744194791	0.0211797975556686	1	955	72100	1	13	12	0.0110198498475392	0.00710000525243469	0.0164336938899575	1	1	1	0.0190169945513177	0.0144103093434709	0.024745261222286	0.307842315442001	0.102116320926406	0
Serotype_14	Population_A	0.0477608729735948	1.51053280711885e-05	1	955	72100	1	44	0	0.0467223937414548	0.0346341890321497	0.0613846229278959	1	1	1	1.38584668774417e-05	9.60248219858547e-06	1.99049624966158e-05	0.0217433050839367	0.082544462978267	0
Serotype_15	Population_A	0.0224725125357509	0.00159293845675666	1	955	72100	1	22	1	0.0223927759982704	0.01454643703026	0.0327589158872513	1	1	1	0.00136789780107605	0.00100960397779988	0.00182389032482812	0.00354818079881624	0.141273917222643	0
Serotype_16	Population_A	0.0458269464317709	2.15697089724176e-05	1	955	72100	1	42	0	0.0446302106908628	0.0327608092551916	0.0591800232025653	1	1	1	1.79975959385049e-05	1.26896853328877e-05	2.5451226639741e-05	0.0261142370175116	0.165607845635773	0
Serotype_17	Population_A	0.0413025377551094	4.96360232812137e-05	1	955	72100	1	44	0	0.0465589419152259	0.0345153228943455	0.0609869174114488	1	1	1	3.84793156633784e-05	2.72757253718684e-05	5.37476724380979e-05	0.127265888388814	0.224770376035704	0
Serotype_18	Population_A	0.00681457569589838	0.0284992836819387	1	955	72100	1	11	14	0.00943441216387219	0.00598565435998174	0.0140292122577446	1	1	1	0.0245787519533217	0.0184562071574966	0.0319522972292769	0.384446014672733	0.137565974372249	0
Serotype_19	Population_A	0.0162682878901251	0.00499501697873601	1	955	72100	1	18	7	0.0203447536652824	0.0134752486898655	0.0293361946924328	1	1	1	0.00415461604499282	0.00307275702640689	0.00550680619628927	0.250577430316547	0.168247863284713	0
