serotype	study	gene1	true_rho_ijg1	true_nu_j	true_r_i	carriage_samples	surveillance_population	time_interval	true_nu_g1	carriage	disease	rho	rho_lower	rho_upper	gamma	gamma_lower	gamma_upper	nu_j	nu_j_lower	nu_j_upper	nu_g1	nu_g1_lower	nu_g1_upper	rho_diff	nu_j_diff	nu_g1_diff	r_diff
Serotype_1	Population_A	Gene1_A	0.021448392351158	0.00192366131736158	1	955	72100	2	0.0553	20	0	0.0212498634363276	0.0132257307627111	0.0321218926666566	1	1	1	0.000203617631925335	4.53288447321467e-05	0.00104405095554765	0.566934532128159	0.128320255210688	2.07508359372912	0.00925612099872345	0.894150997325969	9.25198068947847	0
Serotype_2	Population_A	Gene1_A	0.0393551641260274	7.10537281277665e-05	1	955	72100	2	0.0553	45	0	0.0477024611643091	0.0353710750796094	0.0624981968358747	1	1	1	3.7910214095236e-06	1.06999759025287e-06	4.76897479385222e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.212101695511957	0.946645707277925	9.25198068947847	0
Serotype_3	Population_A	Gene1_A	0.0222268702462316	0.00166667292466383	1	955	72100	2	0.0553	22	0	0.0233259988885911	0.0149178339336932	0.0341404452880477	1	1	1	0.000151818440547293	2.78259432827072e-05	0.000835717634048202	0.566934532128159	0.128320255210688	2.07508359372912	0.0494504457975085	0.908909277698913	9.25198068947847	0
Serotype_4	Population_A	Gene1_A	0.0275577765190974	0.000624277781675576	1	955	72100	2	0.0553	28	0	0.029830084821018	0.0202862882255357	0.0415413605785418	1	1	1	7.94323820128126e-05	1.50029611034148e-05	0.000459424710304838	0.566934532128159	0.128320255210688	2.07508359372912	0.082456155355853	0.872761158022292	9.25198068947847	0
Serotype_5	Population_A	Gene1_A	0.0305270829237998	0.000361271220343049	1	955	72100	2	0.0553	21	0	0.0226363231316572	0.0147848402922436	0.0330036521005172	1	1	1	1.2210014867313e-05	1.40676118076566e-06	0.000111604366116664	0.566934532128159	0.128320255210688	2.07508359372912	0.258483911215463	0.966202636191948	9.25198068947847	0
Serotype_6	Population_A	Gene1_A	0.00323402408976108	0.0551160483973277	1	955	72100	2	0.0553	6	3	0.00696355550620506	0.00344696501434545	0.012353515796414	1	1	1	0.0053260648349435	0.00142434550814157	0.0237605522680858	0.566934532128159	0.128320255210688	2.07508359372912	1.15321695600589	0.903366351728479	9.25198068947847	0
Serotype_7	Population_A	Gene1_A	0.0471397672779858	1.69363031133799e-05	1	955	72100	2	0.0553	49	0	0.051735789741083	0.0390876126544189	0.0669525833649154	1	1	1	1.01005899741946e-05	1.28255380479858e-06	9.12459825986438e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.0974977758374197	0.403613060856531	9.25198068947847	0
Serotype_8	Population_A	Gene1_A	0.0151845754589885	0.00609865355644351	1	955	72100	2	0.0553	12	0	0.0125789298951408	0.00681233402007906	0.0206548192723973	1	1	1	0.000584939359694556	0.000144798856902878	0.00276779992624165	0.566934532128159	0.128320255210688	2.07508359372912	0.171598183359506	0.904087130990325	9.25198068947847	0
Serotype_9	Population_A	Gene1_A	0.0139275324996561	0.00768771721786772	1	955	72100	2	0.0553	11	0	0.0113927616769215	0.00610201224820779	0.018818705407154	1	1	1	0.000819696733893224	0.000210342649427584	0.00370938788988802	0.566934532128159	0.128320255210688	2.07508359372912	0.181997121370722	0.893375795354687	9.25198068947847	0
Serotype_10	Population_A	Gene1_A	0.0129778660368174	0.00915736905140876	1	955	72100	2	0.0553	12	2	0.0140932829859794	0.00802622800877647	0.0222716815972135	1	1	1	0.0010189296236015	0.000266133741010298	0.00468223228387097	0.566934532128159	0.128320255210688	2.07508359372912	0.0859476393112373	0.888731182735859	9.25198068947847	0
Serotype_11	Population_A	Gene1_A	0.0160193065763451	0.00522944348484999	1	955	72100	2	0.0553	12	1	0.0137504452165973	0.00764498258365688	0.0223791457988846	1	1	1	0.00045041644174081	0.000115672641546816	0.00212807734188788	0.566934532128159	0.128320255210688	2.07508359372912	0.141632932045769	0.913869144384925	9.25198068947847	0
Serotype_12	Population_A	Gene1_A	0.0220769588719122	0.00171333895893638	1	955	72100	2	0.0553	29	0	0.0305634964605953	0.0205849287291472	0.0431137663607132	1	1	1	0.0001915960444349	4.1561226282231e-05	0.000993746558792818	0.566934532128159	0.128320255210688	2.07508359372912	0.384407002700005	0.888173882094037	9.25198068947847	0
Serotype_13	Population_A	Gene1_A	0.00842597744194791	0.0211797975556686	1	955	72100	2	0.0553	8	2	0.00945276013244373	0.00486079734124164	0.0161293721876044	1	1	1	0.00205898702020449	0.000551335488194067	0.00927865017690677	0.566934532128159	0.128320255210688	2.07508359372912	0.121859178661467	0.902785330464435	9.25198068947847	0
Serotype_14	Population_A	Gene1_A	0.0477608729735948	1.51053280711885e-05	1	955	72100	2	0.0553	56	0	0.05917705908301	0.0452373229054897	0.0755008969851257	1	1	1	3.16878813740749e-06	1.05494226525854e-06	3.58237339384754e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.239028003439694	0.790220502164958	9.25198068947847	0
Serotype_15	Population_A	Gene1_A	0.0224725125357509	0.00159293845675666	1	955	72100	2	0.0553	16	0	0.0171977633168463	0.0102936966939744	0.0266915254179367	1	1	1	0.000138473458120253	3.19010471042279e-05	0.000674303033902352	0.566934532128159	0.128320255210688	2.07508359372912	0.234720047903549	0.913070428092874	9.25198068947847	0
Serotype_16	Population_A	Gene1_A	0.0458269464317709	2.15697089724176e-05	1	955	72100	2	0.0553	49	0	0.0519485821444497	0.0391333852923896	0.0671644045195299	1	1	1	3.34979205344244e-06	1.0649078678035e-06	3.81824109800762e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.133581575673887	0.844699246627481	9.25198068947847	0
Serotype_17	Population_A	Gene1_A	0.0413025377551094	4.96360232812137e-05	1	955	72100	2	0.0553	50	0	0.0530593267239127	0.0402544136970458	0.0682020125168961	1	1	1	3.49993402632356e-06	1.05211602398701e-06	4.15425951639031e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.284650522893085	0.929488025128552	9.25198068947847	0
Serotype_18	Population_A	Gene1_A	0.00681457569589838	0.0284992836819387	1	955	72100	2	0.0553	6	2	0.00739099426507618	0.00349448543182666	0.0134115684188896	1	1	1	0.00257326737494304	0.00068652238069588	0.0116439633922722	0.566934532128159	0.128320255210688	2.07508359372912	0.0845861275742717	0.909707647263646	9.25198068947847	0
Serotype_19	Population_A	Gene1_A	0.0162682878901251	0.00499501697873601	1	955	72100	2	0.0553	15	0	0.0158231852261575	0.0092068627760148	0.024950657896782	1	1	1	0.000411502834259686	9.97470771924518e-05	0.00200569263308286	0.566934532128159	0.128320255210688	2.07508359372912	0.0273601418276963	0.917617330229012	9.25198068947847	0
Serotype_20	Population_A	Gene1_A	0.0072762124822475	0.0261759830892973	1	955	72100	2	0.0553	10	4	0.0126059222736642	0.00713805439718471	0.0205570502665185	1	1	1	0.00244332087533237	0.000646598625577623	0.010947219292899	0.566934532128159	0.128320255210688	2.07508359372912	0.732484078003506	0.906657913592121	9.25198068947847	0
Serotype_1	Population_A	Gene1_A	0.0322225386276841	0.00192366131736158	1	955	72100	2	0.0553	26	0	0.0274496344129518	0.0182008260686492	0.039101462208921	1	1	1	0.000203617631925335	4.53288447321467e-05	0.00104405095554765	0.566934532128159	0.128320255210688	2.07508359372912	0.148123159068283	0.894150997325969	9.25198068947847	0
Serotype_2	Population_A	Gene1_A	0.0492681970703416	7.10537281277665e-05	1	955	72100	2	0.0553	45	0	0.047738961023263	0.0352940314023437	0.0624018329026457	1	1	1	3.7910214095236e-06	1.06999759025287e-06	4.76897479385222e-05	0.566934532128159	0.128320255210688	2.07508359372912	0.0310390097063071	0.946645707277925	9.25198068947847	0
