serotype	study	gene1	gene2	true_rho_ijg1g2	true_nu_j	true_r_i	carriage_samples	surveillance_population	time_interval	true_nu_g1	true_nu_g2	carriage	disease	rho	rho_lower	rho_upper	gamma	gamma_lower	gamma_upper	nu_j	nu_j_lower	nu_j_upper	nu_g1	nu_g1_lower	nu_g1_upper	nu_g2	nu_g2_lower	nu_g2_upper	rho_diff	nu_j_diff	nu_g1_diff	nu_g2_diff	r_diff
Serotype_1	Population_A	Gene1_A	Gene2_A	0.021448392351158	0.00192366131736158	1	955	72100	1	0.290397135415241	13.689437742639	26	14	0.0233158668033301	0.0143414530128082	0.0335362527558637	1	1	1	0.000595208865240987	0.000146467132101535	0.000957909423889426	0.858037611079639	0.146894329772987	9.99860963652338	0.74441304675829	0.0743362450785774	3.80984614076117	0.0870682716726457	0.690585416534054	1.95470411528931	0.945621357081771	0
Serotype_2	Population_A	Gene1_A	Gene2_A	0.0393551641260274	7.10537281277665e-05	1	955	72100	1	0.290397135415241	13.689437742639	43	0	0.0410898203228507	0.0311656375726052	0.0531312579136288	1	1	1	2.3070337469269e-05	5.23671606863878e-06	3.70727446095238e-05	0.858037611079639	0.146894329772987	9.99860963652338	0.74441304675829	0.0743362450785774	3.80984614076117	0.0440769651288559	0.675311372433763	1.95470411528931	0.945621357081771	0
Serotype_3	Population_A	Gene1_A	Gene2_A	0.0222268702462316	0.00166667292466383	1	955	72100	1	0.290397135415241	13.689437742639	18	10	0.0249676706266727	0.0154696086037815	0.0345551932670486	1	1	1	0.000554563682177939	0.000123960831996572	0.000909565182922438	0.858037611079639	0.146894329772987	9.99860963652338	0.74441304675829	0.0743362450785774	3.80984614076117	0.123310225419874	0.667263040053407	1.95470411528931	0.945621357081771	0
Serotype_4	Population_A	Gene1_A	Gene2_A	0.0275577765190974	0.000624277781675576	1	955	72100	1	0.290397135415241	13.689437742639	29	4	0.0377218489809192	0.0270530881042848	0.05053863516111	1	1	1	0.000199998142726184	4.49581194082126e-05	0.000335248917767774	0.858037611079639	0.146894329772987	9.99860963652338	0.74441304675829	0.0743362450785774	3.80984614076117	0.368827741047182	0.679632771505363	1.95470411528931	0.945621357081771	0
Serotype_5	Population_A	Gene1_A	Gene2_A	0.0305270829237998	0.000361271220343049	1	955	72100	1	0.290397135415241	13.689437742639	25	4	0.0316851045482909	0.0211370153010501	0.0430645416702521	1	1	1	0.00012612052477599	3.1802123625683e-05	0.000196267977340933	0.858037611079639	0.146894329772987	9.99860963652338	0.74441304675829	0.0743362450785774	3.80984614076117	0.0379342378497725	0.650897946821695	1.95470411528931	0.945621357081771	0
Serotype_6	Population_A	Gene1_A	Gene2_A	0.00323402408976108	0.0551160483973277	1	955	72100	1	0.290397135415241	13.689437742639	4	46	0.00271124324201321	0.00120702226031157	0.00539532822947796	1	1	1	0.0178907825933877	0.00421580026298519	0.0302183325816193	0.858037611079639	0.146894329772987	9.99860963652338	0.74441304675829	0.0743362450785774	3.80984614076117	0.161650263955359	0.675397944634667	1.95470411528931	0.945621357081771	0
Serotype_7	Population_A	Gene1_A	Gene2_A	0.0471397672779858	1.69363031133799e-05	1	955	72100	1	0.290397135415241	13.689437742639	44	1	0.0512634921198321	0.0376823698529945	0.0637704096075044	1	1	1	5.60663379305564e-06	1.34812828513622e-06	9.24409365995963e-06	0.858037611079639	0.146894329772987	9.99860963652338	0.74441304675829	0.0743362450785774	3.80984614076117	0.0874786847700894	0.668957637595283	1.95470411528931	0.945621357081771	0
Serotype_8	Population_A	Gene1_A	Gene2_A	0.0151845754589885	0.00609865355644351	1	955	72100	1	0.290397135415241	13.689437742639	12	21	0.0178328420052942	0.0107773941086302	0.0271263106922199	1	1	1	0.00213894601638782	0.000482998186885177	0.00343976466879048	0.858037611079639	0.146894329772987	9.99860963652338	0.74441304675829	0.0743362450785774	3.80984614076117	0.174405043687803	0.649275697235184	1.95470411528931	0.945621357081771	0
Serotype_9	Population_A	Gene1_A	Gene2_A	0.0139275324996561	0.00768771721786772	1	955	72100	1	0.290397135415241	13.689437742639	17	36	0.0147100191579143	0.00870438139466382	0.0235965360605918	1	1	1	0.00264953168011186	0.000589270333507018	0.00442013430805786	0.858037611079639	0.146894329772987	9.99860963652338	0.74441304675829	0.0743362450785774	3.80984614076117	0.0561827199669129	0.655355210783008	1.95470411528931	0.945621357081771	0
Serotype_10	Population_A	Gene1_A	Gene2_A	0.0129778660368174	0.00915736905140876	1	955	72100	1	0.290397135415241	13.689437742639	10	41	0.00962609111548294	0.00498067375174847	0.016305684013366	1	1	1	0.00297261777180693	0.000698741795686531	0.00470336999621085	0.858037611079639	0.146894329772987	9.99860963652338	0.74441304675829	0.0743362450785774	3.80984614076117	0.258268571414261	0.675385172846165	1.95470411528931	0.945621357081771	0
Serotype_11	Population_A	Gene1_A	Gene2_A	0.0160193065763451	0.00522944348484999	1	955	72100	1	0.290397135415241	13.689437742639	11	22	0.0111463428678968	0.00534071837124947	0.0189475034975676	1	1	1	0.00176940017251243	0.000403680506561815	0.00290392827560004	0.858037611079639	0.146894329772987	9.99860963652338	0.74441304675829	0.0743362450785774	3.80984614076117	0.304193173732247	0.661646563800051	1.95470411528931	0.945621357081771	0
Serotype_12	Population_A	Gene1_A	Gene2_A	0.0220769588719122	0.00171333895893638	1	955	72100	1	0.290397135415241	13.689437742639	24	11	0.0177911131164425	0.0106244668870719	0.0268378900074429	1	1	1	0.00055845272533148	0.000132264224204295	0.000948092895737546	0.858037611079639	0.146894329772987	9.99860963652338	0.74441304675829	0.0743362450785774	3.80984614076117	0.194132071375214	0.674055899786367	1.95470411528931	0.945621357081771	0
